index, c_prop, power_avg, p_pump1, p_pump2, flow1, flow2, pwm_prop, power1, power2,res_prop,torque1, torque2, fuel_all, load1939, demand_t, t, rpm_set, rpm_real,fuelrate,pwr_avg, acc&loose&tor, tor_idle, loserate, 
3,0,0,2.635,2.595,0,0,0,0,0,20,0,0,483394,0,0,0,1200,0,0,10,872494,0,0,
4,0,0.3813925,2.7,2.66,2.3247,2.3247,598,0.011623501,0.011451302,20,3.008029,2.963466,483394,230,210,210,1200,369,55,10,872494,10,2.252033,
5,0,0.9867773,2.7,2.595,6.1992,6.1992,0,0.0426195,0.04124191,20,4.812845,4.62568,483394,230,200,200,1200,615,55,10,872494,10,0.9512195,
6,56,1.592162,2.545,2.595,10.0737,10.0737,0,0.09009648,0.08965163,20,7.371899,7.51673,483394,230,200,200,1200,615,55,10,872494,10,0.9512195,
7,50,2.318624,2.545,2.765,14.723101,14.723101,0,0.1594859,0.1650394,20,8.978595,9.754741,483394,230,200,200,1200,738,44.16667,10,872494,10,0.6260163,
8,0,3.166163,2.7775,2.66,20.1474,20.1474,0,0.2631144,0.264284,20,11.493374,11.007157,483394,220,200,200,1200,861,44.16667,10,872494,10,0.3937282,
9,0,4.134779,2.83,2.7,26.3466,26.3466,5,0.4011901,0.396017,20,13.399653,12.784122,483394,220,200,200,1200,984,44.16667,10,872494,10,0.2195122,
10,0,5.224471,2.79,2.7,33.3207,33.3207,59,0.5733471,0.5626205,20,14.850749,14.371694,483394,220,200,200,1200,1107,44.16667,10,872494,10,0.08401084,
11,0,6.435241,2.79,2.7,41.0697,41.0697,65,0.7855405,0.767969,20,16.47397,15.942552,483394,220,200,200,1200,1230,44.16667,10,872494,10,0,
12,0,7.645026,2.7,2.79,48.8124,48.8124,71,1.029603,1.020166,20,18.96356,19.59567,483394,220,200,200,1200,1229,43.33333,10,872494,10,0,
13,0,8.854812,2.7,2.79,56.55511,56.55511,77,1.312378,1.312368,20,21.97158,22.70397,483394,220,200,200,1200,1229,43.33333,10,872494,10,0,
14,0,9.68222,2.9075,2.6475,61.9668,61.9668,83,1.6344,1.604726,20,25.94526,23.62514,483394,220,200,200,1200,1228,43.33333,10,872494,10,0,
15,0,10.285637,2.7,2.6475,65.8287,65.8287,89,1.932547,1.897679,20,25.59519,25.0975,483394,220,200,200,1200,1228,43.33333,10,872494,10,0,
16,0,10.888069,2.7,2.74,69.68431,69.68431,95,2.233492,2.202853,20,27.11639,27.51811,483394,220,200,200,1200,1227,43.33333,10,872494,10,0,
17,0,11.369425,2.675,2.6225,72.765,72.765,101,2.524559,2.480847,20,28.053,27.50244,483394,220,200,200,1200,1227,40.83334,10,872494,10,0,
18,0,11.728718,2.7,2.6225,75.0645,75.0645,107,2.796253,2.746151,20,29.23382,28.3947,483394,220,200,200,1200,1226,40.83334,10,872494,10,0,
19,0,11.966934,2.7,2.6875,76.5891,76.5891,113,3.041123,2.995591,20,29.82757,29.68948,483394,220,200,200,1200,1226,40.83334,10,872494,10,0,
20,0,12.084074,2.5575,2.7525,77.33879,77.33879,119,3.235251,3.2232,20.01,28.52989,30.7052,483394,220,200,200,1200,1226,40.83334,10,872494,10,0,
21,0,12.080135,2.8175,2.7525,77.31359,77.31359,125,3.426448,3.411936,20.03,31.42006,30.69519,483394,220,200,200,1200,1226,40.83334,10,872494,10,0,
22,0,12.01684,2.8175,2.725,77.2947,77.2947,132,3.585678,3.549791,20.05,31.41238,30.38109,483394,220,200,190,1200,1226,40.83334,10,872494,10,0,
23,0,11.953547,2.765,2.675,77.2758,77.2758,138,3.698584,3.640391,20.07,30.81952,29.81635,483394,220,200,190,1200,1226,40.83334,10,872494,10,0,
24,0,11.891236,2.7525,2.675,77.26319,77.26319,144,3.758766,3.719321,20.09,30.67518,29.81148,483394,220,200,190,1200,1226,40.83334,10,872494,10,0,
25,0,11.828925,2.7525,2.635,77.2506,77.2506,150,3.823386,3.773532,20.11,30.67018,29.36092,483394,210,200,190,1200,1226,40.83334,10,872494,10,0,
26,0,11.767599,2.725,2.6875,77.2443,77.2443,156,3.864762,3.804382,20.13,30.36128,29.94347,483394,210,200,190,1200,1226,40.83334,10,872494,10,0,
27,0,11.706272,2.725,2.6875,77.23799,77.23799,162,3.894071,3.835402,20.15,30.35881,29.94102,483394,210,200,190,1200,1226,40,10,872494,10,0,
28,0,11.64593,2.595,2.8175,77.23799,77.23799,169,3.889921,3.873849,20.17,28.9105,31.38934,483394,220,200,190,1200,1226,40,10,872494,10,0,
29,0,11.585588,2.595,2.8175,77.23799,77.23799,175,3.878147,3.895673,20.19,28.9105,31.38934,483394,220,200,190,1200,1226,40,10,872494,10,0,
30,0,11.525248,2.5825,2.66,77.23799,77.23799,181,3.881245,3.881928,20.21001,28.77124,29.63465,483394,210,200,190,1200,1226,40,10,872494,10,0,
31,0,11.464906,2.6875,2.675,77.23799,77.23799,187,3.862256,3.870458,20.23001,29.94102,29.80176,483394,210,200,190,1200,1226,40,10,872494,10,0,
32,0,11.464906,2.6875,2.675,77.23799,77.23799,193,3.843366,3.86302,20.25001,29.94102,29.80176,483394,210,190,190,1200,1226,40,10,872494,10,0,
33,0,11.464906,2.74,2.595,77.23799,77.23799,200,3.839597,3.85139,20.27001,30.52592,28.9105,483394,210,190,190,1200,1226,40,10,872494,10,0,
34,0,11.464906,2.675,2.61,77.23799,77.23799,206,3.828383,3.841968,20.29001,29.80176,29.07761,483394,210,190,190,1200,1226,40,10,872494,10,0,
35,0,11.464906,2.675,2.61,77.23799,77.23799,212,3.817234,3.838331,20.31001,29.80176,29.07761,483394,210,190,190,1200,1226,40,10,872494,10,0,
36,0,11.464906,2.725,2.765,77.23799,77.23799,219,3.817202,3.849384,20.33001,30.35881,30.80444,483394,210,200,190,1200,1226,40,10,872494,10,0,
37,0,11.464906,2.725,2.765,77.23799,77.23799,225,3.817202,3.860469,20.35001,30.35881,30.80444,483394,210,190,190,1200,1226,40,10,872494,10,0,
38,0,11.464906,2.725,2.7,77.23799,77.23799,231,3.835796,3.843663,20.37001,30.35881,30.08029,483394,210,190,190,1200,1226,40,10,872494,10,0,
39,0,11.465841,2.7775,2.7,77.2443,77.2443,238,3.861932,3.826888,20.39001,30.921,30.05822,483394,210,190,190,1200,1227,40,10,872494,10,0,
40,0,11.466776,2.7775,2.7,77.25061,77.25061,244,3.889888,3.832673,20.41001,30.92353,30.06068,483394,210,190,190,1200,1227,40,10,872494,10,0,
41,1,11.46771,2.725,2.6225,77.25691,77.25691,254,3.895348,3.825255,20.44001,30.34149,29.20021,483394,210,190,190,1200,1227,39.16667,10,872494,10,0,
42,1,11.468646,2.765,2.675,77.2632,77.2632,257,3.906562,3.82538,20.45001,30.78938,29.78719,483394,210,190,190,1200,1227,39.16667,10,872494,10,0,
43,7,11.468646,2.765,2.675,77.2632,77.2632,263,3.910267,3.836948,20.47001,30.81449,29.81149,483394,210,190,190,1200,1226,39.16667,10,872494,10,0,
44,12,11.469582,2.74,2.61,77.2695,77.2695,269,3.919724,3.8371,20.49001,30.51348,29.06576,483394,210,190,190,1200,1227,39.16667,10,872494,10,0,
45,20,11.470517,2.7,2.725,77.27581,77.27581,276,3.923489,3.85374,20.51001,30.07048,30.34891,483394,210,190,190,1200,1227,39.16667,10,872494,10,0,
46,21,11.471453,2.7,2.725,77.2821,77.2821,282,3.920133,3.848241,20.53001,30.07293,30.35138,483394,210,190,190,1200,1227,39.16667,10,872494,10,0,
47,32,11.411997,2.6225,2.61,77.28841,77.28841,292,3.905717,3.826314,20.56001,29.21211,29.07287,483394,210,190,180,1200,1227,39.16667,10,872494,10,0,
48,36,11.352542,2.765,2.6875,77.29471,77.29471,298,3.911729,3.824809,20.58001,30.80194,29.93859,483394,210,190,180,1200,1227,39.16667,10,872494,10,0,
49,38,11.292151,2.7125,2.6875,77.29471,77.29471,305,3.902685,3.823271,20.60001,30.21709,29.93859,483394,210,190,180,1200,1227,39.16667,10,872494,10,0,
50,47,11.292151,2.7125,2.7525,77.29471,77.29471,311,3.893608,3.831007,20.62001,30.21709,30.66269,483394,210,190,190,1200,1227,39.16667,10,872494,10,0,
